@relation features_dach_1_store

@attribute lines REAL
@attribute words REAL
@attribute tags REAL
@attribute div REAL
@attribute h1 REAL
@attribute h2 REAL
@attribute h3 REAL
@attribute img REAL
@attribute table REAL
@attribute p REAL
@attribute a REAL
@attribute iframe REAL
@attribute keyword {0,1}
@attribute url_change {0,1}
@attribute Anti-Adblock {TRUE,FALSE}

@data
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,1,0,?
-4,-27,-4,-1,0,0,0,-1,0,-3,0,1,1,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
6,80,33,9,0,0,0,3,0,2,3,3,1,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
0,-1,0,0,0,0,0,0,0,0,0,0,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
2,930,18,1,0,0,0,1,0,0,0,3,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
3,623,22,4,0,0,0,-1,0,0,0,6,0,0,?
0,0,13,0,0,0,0,0,0,0,0,3,0,0,?
4,68,41,7,0,0,0,-2,0,0,1,13,1,0,?
-16,1038,38,-17,0,0,0,3,2,0,15,2,1,0,?
0,0,7,0,0,0,0,0,0,0,0,0,0,0,?
1,-30,11,8,0,0,0,1,0,0,0,0,1,0,?
2,11,19,2,0,0,0,1,0,0,1,4,1,0,?
0,-4,0,0,0,0,0,0,0,0,0,0,0,0,?
273,514,580,198,0,0,0,24,0,0,189,0,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,1,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
0,0,-6,-6,0,0,0,0,0,0,0,0,1,0,?
1,5,15,-2,0,0,0,0,0,0,0,1,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
0,-8,0,0,0,0,0,0,0,0,0,0,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
1,3,-1,-1,0,0,0,0,0,0,0,1,0,0,?
0,0,30,8,0,0,0,0,0,0,0,11,0,0,?
4,248,52,24,0,0,0,0,0,0,0,18,1,0,?
1,361,21,11,0,0,1,-4,0,1,2,4,1,0,?
32,870,107,60,0,0,0,18,0,0,18,0,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
0,0,-2,0,0,0,0,0,0,0,0,0,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
0,0,1,0,0,0,0,0,0,0,0,1,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
65,6297,375,20,0,0,0,3,9,0,45,5,0,0,?
38,486,71,30,0,0,0,0,0,3,8,7,1,0,?
2,56,40,-1,0,0,0,25,0,0,0,1,1,0,?
0,-2,0,0,0,0,0,0,0,0,0,0,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
10,21,32,13,0,0,0,3,0,0,5,0,1,0,?
-9,-136,-25,-9,0,0,0,-9,0,0,-2,4,1,0,?
0,0,1,0,0,0,0,0,0,0,0,0,0,0,?
69,4817,316,48,0,0,0,27,3,0,54,1,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
-4,-10,-4,0,0,0,0,0,0,0,0,0,1,0,?
-5,-17,15,5,0,0,0,-1,0,0,-1,8,1,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
0,1,0,0,0,0,0,0,0,0,0,0,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
0,-4,-4,-1,0,0,0,-1,0,0,-1,1,1,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
0,0,1,0,0,0,0,0,0,0,0,0,0,0,?
0,0,1,0,0,0,0,0,0,0,0,0,0,0,?
-1,4,0,-2,0,0,0,1,0,0,-1,7,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
4,74,7,2,0,0,0,1,0,1,1,0,0,0,?
0,9,15,0,0,0,0,-1,0,0,0,4,0,0,?
0,-6,4,0,0,0,0,0,0,0,0,2,0,0,?
3,3846,1,0,0,0,0,0,0,0,0,0,0,0,?
32,1110,186,16,0,0,0,49,0,0,6,8,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
-4,-65,-7,1,0,0,0,0,0,0,0,0,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
-3,-20,0,2,0,0,0,0,0,0,0,0,1,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,1,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
