@relation 'features_de_1_store-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15'

@attribute lines REAL
@attribute words REAL
@attribute tags REAL
@attribute div REAL
@attribute h1 REAL
@attribute h2 REAL
@attribute h3 REAL
@attribute img REAL
@attribute table REAL
@attribute p REAL
@attribute a REAL
@attribute iframe REAL
@attribute keyword {0,1}
@attribute url_change {0,1}
@attribute Anti-Adblock {TRUE,FALSE}

@data
6,47,18,11,0,0,0,1,0,0,0,-1,0,1,?
6,47,18,11,0,0,0,1,0,0,0,-1,0,1,?
5,120,85,25,0,0,2,0,0,0,0,0,1,0,?
0,0,0,0,0,0,0,0,0,0,0,0,1,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
-1,-7,8,0,0,0,0,0,0,0,0,6,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
57,1510,138,33,0,0,0,-5,0,1,-2,13,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
6,1238,22,6,0,0,0,3,0,0,1,2,0,0,?
62,1474,145,34,0,0,0,-5,0,1,-2,13,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,1,?
0,3,0,0,0,0,0,0,0,0,0,0,0,0,?
-13,-80,-43,-14,0,0,0,-5,0,0,-7,4,0,0,?
0,31,1,0,0,0,0,0,0,0,0,0,0,0,?
-1,-3,-6,0,0,0,0,0,0,0,0,0,0,0,?
-8,-27,-10,-3,0,0,0,0,0,0,-1,3,1,0,?
6,-326,48,19,0,0,0,3,0,-4,0,10,1,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
656,3573,2263,399,-1,34,89,240,0,65,440,1,1,1,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
-1,-4,2,1,0,0,0,0,0,0,0,1,1,0,?
2,12,-16,-1,0,0,0,3,0,0,0,-3,1,0,?
0,0,0,0,0,0,0,0,0,0,0,0,1,0,?
1,-1272,40,5,0,0,0,5,0,0,-1,7,1,0,?
-1,-1,-1,-3,0,0,0,0,0,1,0,2,0,0,?
-3,-27,-4,17,0,0,0,-1,0,0,-5,0,1,0,?
33,1610,59,-5,0,0,-1,-3,0,0,-1,7,1,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
13,106,27,5,0,0,0,1,0,0,1,3,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
10,50,19,2,0,0,0,1,0,3,3,0,0,0,?
0,-9,0,0,0,0,0,0,0,0,0,0,1,0,?
0,0,1,0,0,0,0,0,0,0,0,0,0,0,?
2,1,10,3,0,0,0,0,0,1,1,0,0,0,?
