lines,words,tags,div,h1,h2,h3,img,table,p,a,iframe,keyword,url_change,Anti-Adblock
-10,-18,-63,-35,0,-1,0,-2,0,0,-7,1,0,0,?
4,245,45,20,0,0,0,0,0,0,0,14,1,0,?
0,-16,0,0,0,0,0,0,0,0,0,0,0,0,?
1,23,4,0,0,0,0,0,0,0,0,1,1,0,?
1,1,-1,1,0,0,0,0,0,0,0,1,1,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,1,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,1,?
-70,216,-247,-117,-1,-4,-7,-12,0,0,-26,-12,0,0,?
1,8,10,2,0,0,0,0,0,0,0,1,0,0,?
20,230,48,12,0,0,0,5,0,1,6,3,0,0,?
-4,-32,-10,-7,0,0,0,0,0,0,-2,1,0,0,?
0,-1,12,2,0,0,0,0,0,0,0,7,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
-11,-29,9,0,0,0,0,1,0,0,0,2,0,0,?
-4,-131,-25,-11,0,0,0,-1,0,-2,-1,-2,1,0,?
0,0,32,9,0,0,0,0,0,0,0,13,1,0,?
-258,-1428,-313,-35,0,0,0,-16,0,0,-4,9,0,0,?
0,0,-1,-2,0,0,0,0,0,0,0,0,0,0,?
0,-4,2,0,0,0,0,0,0,0,0,2,1,0,?
53,287,89,27,0,0,0,6,0,0,2,7,0,0,?
0,0,10,0,0,0,0,1,0,0,0,10,1,0,?
-10,42,10,0,0,0,0,0,0,4,0,5,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
0,-1,-7,5,0,0,0,0,0,0,0,1,0,0,?
0,0,-3,0,0,0,0,0,0,0,0,0,0,0,?
1,6,6,3,0,0,0,1,0,0,0,1,0,0,?
1,1,7,0,0,0,0,0,0,0,0,0,1,0,?
28,1335,47,7,0,0,0,0,0,0,0,5,1,0,?
0,-15,0,0,0,0,0,0,0,0,0,1,1,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
0,15,18,7,0,0,0,0,0,0,0,9,0,0,?
0,0,0,0,0,0,0,0,0,0,0,1,0,0,?
1,300,9,3,0,0,0,0,0,0,0,3,0,0,?
306,-12227,1004,119,0,0,0,13,0,21,250,0,0,0,?
0,-13,3,0,0,0,0,0,0,0,0,0,1,0,?
0,0,-6,0,0,0,0,0,0,-2,0,0,0,0,?
0,0,3,1,0,0,0,1,0,0,0,0,1,0,?
-9,-469,19,23,0,0,0,1,0,0,0,4,1,0,?
12,11,48,30,-1,0,0,0,0,0,-2,3,0,0,?
2,-1528,7,1,0,0,0,0,0,0,0,-1,1,0,?
0,0,-3,0,0,0,0,0,0,0,0,1,0,0,?
0,0,0,0,0,0,0,0,0,0,0,-1,0,0,?
0,0,0,0,0,0,0,0,0,0,0,1,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
2,129,21,6,0,0,0,2,0,0,0,5,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,1,?
-6,-19,-13,0,0,0,0,0,0,0,-3,2,0,0,?
286,3602,1034,252,0,2,48,1,0,3,144,14,1,0,?
0,0,21,10,0,0,0,0,0,0,0,10,1,0,?
19,849,32,11,0,0,0,1,0,0,0,4,0,0,?
-9,-18,-2,3,0,0,0,0,-3,0,0,4,0,0,?
0,5,1,0,0,0,0,0,0,0,0,2,0,0,?
-2,-243,-7,-1,0,0,0,0,0,0,0,0,0,0,?
0,0,4,2,0,0,0,0,0,0,0,0,1,1,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
0,0,-9,-7,0,0,0,0,0,0,1,-3,1,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
0,0,-2,0,0,0,0,0,0,0,0,0,0,0,?
0,0,-1,0,0,0,0,0,0,0,0,1,1,0,?
0,0,1,0,0,0,0,0,0,0,-1,1,1,0,?
0,-2,11,3,0,0,0,3,0,0,3,0,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,1,0,?
