@RELATION features-3

@ATTRIBUTE lines REAL
@ATTRIBUTE words REAL
@ATTRIBUTE tags REAL
@ATTRIBUTE div REAL
@ATTRIBUTE h1 REAL
@ATTRIBUTE h2 REAL
@ATTRIBUTE h3 REAL
@ATTRIBUTE img REAL
@ATTRIBUTE table REAL
@ATTRIBUTE p REAL
@ATTRIBUTE a REAL
@ATTRIBUTE iframe REAL
@ATTRIBUTE keyword {0,1}
@ATTRIBUTE url_change {0,1}
@ATTRIBUTE anti-adblock {FALSE,TRUE}

@DATA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
22,168,17,12,0,0,0,0,0,0,-1,0,0,0,?
-224,-447,-1703,-603,0,-5,-29,-34,0,0,-108,0,1,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
0,0,5,1,0,0,0,0,0,0,0,1,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
15,200,24,3,0,0,0,2,0,0,4,-2,0,0,?
0,0,2,0,0,0,0,2,0,0,0,0,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
3,165,37,15,0,0,0,2,0,0,0,8,1,0,?
0,-8,0,0,0,0,0,0,0,0,0,0,0,0,?
0,0,3,0,0,0,0,0,0,0,0,0,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
-3,-24,-15,-4,0,0,0,-4,0,0,0,-1,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
0,-7,16,12,0,0,0,2,0,0,0,3,1,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
4,77,39,5,0,0,0,0,0,0,0,10,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
0,-31,1,1,0,0,0,0,0,0,0,1,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
0,0,15,0,0,0,0,0,0,0,0,3,0,0,?
0,0,20,1,0,0,0,14,0,0,0,1,0,0,?
18,674,38,-3,0,0,0,10,0,0,0,2,1,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
-3,19,30,11,0,0,0,-2,0,0,0,13,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
0,0,2,0,0,0,0,2,0,0,0,0,0,0,?
