site,lines,words,tags,div,h1,h2,h3,img,table,p,a,iframe,keyword,url_change,Anti-Adblock
theschmuckshop.de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
exosrv.com,22,168,17,12,0,0,0,0,0,0,-1,0,0,0,?
youtube.com,-224,-447,-1703,-603,0,-5,-29,-34,0,0,-108,0,1,0,?
genealogienetz.de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
visitberlin.de,0,0,5,1,0,0,0,0,0,0,0,1,0,0,?
fraimtec.de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
ui-portal.de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
huffingtonpost.de,15,200,24,3,0,0,0,2,0,0,4,-2,0,0,?
kameon.de,0,0,2,0,0,0,0,2,0,0,0,0,0,0,?
handshake.de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
winfuture.de,3,165,37,15,0,0,0,2,0,0,0,8,1,0,?
brands4friends.de,0,-8,0,0,0,0,0,0,0,0,0,0,0,0,?
monster.de,0,0,3,0,0,0,0,0,0,0,0,0,0,0,?
krelay.de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
blizzy.de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
timwoelfle.de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
irfanview-forum.de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
momondo.de,-3,-24,-15,-4,0,0,0,-4,0,0,0,-1,0,0,?
dkb.de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
quoka.de,0,-7,16,12,0,0,0,2,0,0,0,3,1,0,?
spreadshirt.de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
minecraft-premiums.blogspot.de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
lehmanns.de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
nowtv.de,4,77,39,5,0,0,0,0,0,0,0,10,0,0,?
zalando.de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
sohndesweges.blogspot.de,0,-31,1,1,0,0,0,0,0,0,0,1,0,0,?
odnoklassniki.ru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
knitting-and-so-on.blogspot.de,0,0,15,0,0,0,0,0,0,0,0,3,0,0,?
parship.de,0,0,20,1,0,0,0,14,0,0,0,1,0,0,?
gamestar.de,18,674,38,-3,0,0,0,10,0,0,0,2,1,0,?
edarling.de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
kicker.de,-3,19,30,11,0,0,0,-2,0,0,0,13,0,0,?
douglas.de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
schnell-abnehmen-nach-der-schwangerschaft.de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
innogames.de,0,0,2,0,0,0,0,2,0,0,0,0,0,0,?
xhamster.com,17,4778,103,45,0,0,0,0,0,2,5,1,0,0,?
utzone.de,0,0,0,0,0,0,0,1,0,0,1,-1,0,0,?
timwi.de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
redtube.com,-3,-30,-12,-4,0,0,0,0,0,0,-2,0,1,0,?
duden.de,0,-4,14,0,0,0,0,0,0,0,0,5,0,0,?
ard.de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
dieservicewelt.de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
tvspielfilm.de,15,143,62,14,0,0,0,2,0,0,4,5,1,0,?
cinema.de,2,51,3,-1,0,0,0,0,0,0,0,0,1,0,?
wilmington.de.us,22,162,17,12,0,0,0,0,0,0,-1,0,0,0,?
base64-image.de,0,0,8,0,0,0,0,0,0,0,0,1,0,0,?
linkedin.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
ramselehof.de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
dragonbox.de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
testberichte.de,0,0,0,0,0,0,0,0,0,0,0,0,1,0,?
footlocker.de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
cyberport.de,79,-2532,1591,372,0,0,0,30,0,21,-16,2,0,0,?
unipark.de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
pekic.de,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,?
obeliks.de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
static-thomann.de,0,-2,0,0,0,0,0,1,0,0,0,-1,1,0,?
balao.de,25,176,19,12,0,0,0,0,0,0,0,0,0,0,?
studiverzeichnis.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
ascomp.de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
mobtraff.de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
nicebridge.de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
movie4k.to,0,0,12,-2,0,0,0,0,0,0,0,0,0,0,?
kfm-motorraeder.de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
wetteronline.de,-3,-9,7,5,0,0,0,-3,0,0,0,3,1,0,?
mmoga.de,0,-15,0,0,0,0,0,0,0,0,0,0,0,0,?
gwdg.de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
swr.de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
bund.de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
exactag.com,-2,-754,-2,0,0,0,0,0,0,0,0,0,0,0,?
aachen-gratuliert.de,38,2047,85,8,0,0,0,3,2,0,-1,8,0,0,?
kochbar.de,24,739,142,53,0,0,0,21,0,0,14,18,1,0,?
trivago.de,15,14,0,-5,0,0,6,0,0,0,-2,-2,0,0,?
dndrunde.de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
jameda.de,0,-14,0,0,0,0,0,0,0,0,0,0,0,0,?
thieme-connect.de,7,108,14,3,0,0,0,1,0,0,1,1,0,0,?
ilsapp.lib.de.us,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
hafas.de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
ardmediathek.de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
kino.de,2,13,17,3,0,0,0,-1,0,0,0,5,1,0,?
frogspawn.de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
robertkresse.de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
