@RELATION features

@ATTRIBUTE lines REAL
@ATTRIBUTE words REAL
@ATTRIBUTE tags REAL
@ATTRIBUTE div REAL
@ATTRIBUTE h1 REAL
@ATTRIBUTE h2 REAL
@ATTRIBUTE h3 REAL
@ATTRIBUTE img REAL
@ATTRIBUTE table REAL
@ATTRIBUTE p REAL
@ATTRIBUTE a REAL
@ATTRIBUTE iframe REAL
@ATTRIBUTE keyword {0,1}
@ATTRIBUTE url_change {0,1}
@ATTRIBUTE anti-adblock {FALSE,TRUE}

@DATA
0,0,1,0,0,0,0,0,0,0,0,0,0,1,?
0,0,0,0,0,0,0,0,0,0,0,0,0,1,?
0,0,0,0,0,0,0,0,0,0,0,0,1,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
3,12,4,0,0,0,0,0,0,0,1,1,0,0,?
48,1132,116,26,0,0,0,-6,0,0,-3,14,0,0,?
3,-17,15,4,0,0,0,0,0,0,0,4,0,0,?
637,3798,1866,293,-1,35,81,158,0,59,369,0,1,1,?
62,1614,162,39,0,0,0,-4,0,2,-1,14,0,0,?
17,220,82,35,0,0,0,1,0,0,2,9,1,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
16,164,26,11,0,0,0,11,0,0,5,2,1,0,?
0,0,5,5,0,0,0,0,0,0,0,0,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
-6,-23,-14,-3,0,0,0,0,0,0,-3,3,1,0,?
14,139,6,1,0,0,0,0,0,0,4,2,1,0,?
0,-6,0,0,0,0,0,0,0,0,0,0,0,0,?
-1,-10,-7,-6,1,-2,0,0,0,-2,0,0,0,0,?
2,14,5,0,0,0,0,0,0,0,0,2,1,0,?
0,0,4,0,0,0,0,2,0,0,2,0,0,0,?
5,1188,15,7,0,0,0,1,0,0,3,1,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,1,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
0,0,6,2,0,0,0,0,0,0,0,2,0,0,?
0,0,1,0,0,0,0,0,0,0,0,-1,0,0,?
9,121,88,13,0,0,0,6,0,4,5,19,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
-9,-49,-14,-19,0,0,0,20,0,0,10,-12,0,0,?
0,0,2,0,0,0,0,1,0,0,1,0,0,0,?
12,10,33,5,0,0,0,3,0,4,7,2,1,0,?
0,-1,4,0,0,0,0,0,0,0,0,3,0,0,?
3,14,10,0,0,0,0,1,0,0,0,0,0,0,?
0,0,1,0,0,0,0,0,0,0,0,0,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,1,0,?
7,41,29,6,0,0,0,2,0,0,2,4,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
-3,-4,2,0,0,0,0,0,0,0,0,1,0,0,?
20,92,61,24,0,0,0,0,0,0,0,4,0,0,?
-4,-14,-12,-1,0,0,0,0,0,0,-3,2,1,0,?
11,136,27,5,0,0,0,2,0,0,2,2,1,0,?
0,0,1,0,0,0,0,0,0,0,0,0,1,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
33,1699,80,24,0,0,0,1,0,0,0,7,1,0,?
7,122,35,0,0,0,0,-1,0,0,0,3,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
25,217,155,65,0,0,0,3,0,3,7,28,0,0,?
-1,11,-1,0,0,0,0,0,0,0,-1,0,0,0,?
0,-1,161,5,0,0,0,0,0,0,0,0,0,0,?
0,0,7,1,0,0,0,1,0,0,0,3,0,0,?
0,0,5,5,0,0,0,0,0,0,0,0,0,0,?
2,248,4,0,0,0,0,0,0,0,0,0,0,0,?
18,120,58,24,0,0,0,0,0,0,0,5,1,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
1,-11,1,0,0,0,0,0,0,0,0,0,1,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,1,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
14,710,93,16,0,0,-1,1,0,2,5,0,0,0,?
-553,1855,-2828,-1587,0,0,0,-34,0,0,-222,0,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
0,0,5,5,0,0,0,0,0,0,0,0,0,1,?
0,0,0,0,0,0,0,0,0,0,0,0,0,1,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
0,97,-1,0,0,0,0,0,0,0,0,0,0,0,?
0,0,1,1,0,0,0,0,0,0,0,0,1,0,?
0,0,1,1,0,0,0,0,0,0,0,0,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,1,0,?
0,0,0,0,0,0,0,0,0,0,0,0,1,0,?
-30,18708,106,138,0,-5,0,-12,0,2,-19,-1,0,1,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
2,10,7,6,0,0,0,0,0,0,0,0,1,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
2,8,14,4,0,0,0,3,0,0,3,1,0,0,?
-11,28,2,-13,0,0,0,-1,0,-4,-3,3,1,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
4,16,-10,0,0,0,0,0,0,0,0,1,0,0,?
47,3147,167,35,0,0,0,1,0,0,1,14,1,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
0,8,-9,-3,0,0,0,-2,0,0,0,0,0,0,?
3,60,41,5,0,0,0,0,0,0,0,11,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
31,1536,85,17,0,0,0,5,0,0,0,8,1,0,?
0,0,6,2,0,0,0,2,0,0,0,2,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
0,-16,0,0,0,0,0,0,0,0,0,0,0,0,?
3,40,17,-3,0,0,0,-5,0,0,0,2,1,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
58,978,185,62,0,0,0,7,5,0,6,8,0,0,?
1,1,39,9,0,0,0,0,0,0,1,6,0,0,?
13,693,57,20,0,0,0,7,0,0,0,3,1,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
-1,3,1,2,0,0,0,0,0,0,0,0,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
4,16,45,13,0,2,0,0,0,0,4,11,1,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
1,-4,4,0,0,0,0,0,0,0,0,0,0,0,?
