@RELATION train

@ATTRIBUTE lines REAL
@ATTRIBUTE words REAL
@ATTRIBUTE tags REAL
@ATTRIBUTE div REAL
@ATTRIBUTE h1 REAL
@ATTRIBUTE h2 REAL
@ATTRIBUTE h3 REAL
@ATTRIBUTE img REAL
@ATTRIBUTE table REAL
@ATTRIBUTE p REAL
@ATTRIBUTE a REAL
@ATTRIBUTE iframe REAL
@ATTRIBUTE keyword {0,1}
@ATTRIBUTE url_change {0,1}
@ATTRIBUTE anti-adblock {TRUE,FALSE}

@DATA
-9,-443,10,7,0,0,-1,-1,0,1,0,12,1,0,TRUE
-26,-416,-9,8,0,0,0,0,0,0,0,9,0,0,FALSE
0,0,5,0,0,0,0,0,0,0,0,0,0,0,FALSE
1,6,12,8,0,0,0,0,0,0,0,2,1,0,FALSE
0,0,19,2,0,0,0,0,0,0,0,3,1,0,FALSE
-6,-29,-1,0,0,0,0,0,0,0,-3,2,1,0,TRUE
-9,-9,-4,0,0,0,0,0,0,0,0,2,0,1,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
0,0,1,0,0,0,0,0,0,0,0,0,1,1,FALSE
12,1162,109,51,0,0,0,10,0,0,21,5,0,0,TRUE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
-3,-60,-4,-1,0,0,0,0,0,0,0,1,1,0,FALSE
3,131,24,1,0,0,0,6,0,0,3,3,1,0,FALSE
1,89,7,0,0,0,0,4,0,0,1,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,1,0,FALSE
28,1428,59,7,0,0,0,0,0,0,2,5,1,0,FALSE
54,577,250,123,-1,3,2,3,0,1,17,2,1,0,TRUE
0,0,23,2,0,0,0,18,0,0,0,0,0,0,FALSE
0,0,1,1,0,0,0,0,0,0,0,0,1,0,FALSE
0,0,16,1,0,0,0,0,0,0,0,2,1,0,FALSE
21,140,106,32,0,0,0,0,0,5,4,5,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,1,0,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
0,0,-1,0,0,0,0,0,0,0,0,0,0,0,FALSE
199,742,461,34,0,0,0,2,11,4,71,11,0,1,TRUE
0,19,0,0,0,0,0,0,0,0,0,0,1,0,FALSE
-6,-398,-1,-3,0,0,-1,-4,0,-1,-4,6,1,0,TRUE
-5,-135,-16,-5,0,0,0,-5,0,0,0,1,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,1,0,FALSE
4,267,40,10,0,0,1,5,0,1,5,8,0,1,FALSE
0,0,14,0,0,0,0,0,0,0,0,3,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
1,-1,22,1,0,0,0,0,0,0,0,6,1,0,FALSE
1,152,8,0,0,0,0,0,0,0,0,4,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
0,0,5,0,0,0,0,0,0,0,0,2,0,0,FALSE
263,-1038,768,147,0,22,0,21,0,3,164,31,1,0,TRUE
15,149,37,9,-1,0,0,2,0,-1,1,3,1,0,TRUE
14,1132,92,57,0,0,0,7,0,0,19,2,0,0,FALSE
1,4,2,1,0,0,0,0,0,0,0,1,0,0,FALSE
32,1078,152,95,0,0,2,13,0,0,18,0,0,0,FALSE
0,0,2,0,0,0,0,0,0,0,0,1,0,0,FALSE
-2,-5,-2,0,0,0,0,0,0,0,0,0,1,0,FALSE
2,2,32,15,0,0,0,0,0,0,0,5,0,0,FALSE
0,-9,9,0,0,0,0,0,0,0,0,6,1,0,FALSE
0,0,1,0,0,0,0,0,0,0,0,1,0,0,TRUE
14,1259,146,76,0,0,0,7,0,0,25,9,0,0,FALSE
1,3,3,1,0,0,0,0,0,0,1,-1,1,0,FALSE
1,3,3,1,0,0,0,0,0,0,1,-1,1,0,FALSE
-7,-43104,27,-4,-1,0,0,0,0,0,-1,6,1,0,TRUE
0,0,23,2,0,0,0,18,0,0,0,0,0,0,FALSE
0,0,27,2,0,0,0,2,0,0,3,5,1,0,FALSE
1,2,3,1,0,0,0,1,0,0,0,1,1,0,FALSE
1,3,27,10,0,0,0,5,0,0,1,6,1,0,FALSE
28,1407,59,7,0,0,0,0,0,0,2,5,1,0,FALSE
2,8,15,0,0,0,0,2,0,0,1,8,1,0,FALSE
6,-9,5,6,0,0,0,-2,0,0,-3,4,0,0,FALSE
8,4,-13,-7,0,1,-3,1,0,1,0,0,0,0,FALSE
0,0,1,0,0,0,0,0,0,0,0,1,0,0,FALSE
18,994,71,32,0,0,0,8,0,0,13,-1,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
-3,-687,-3,-8,0,-1,0,1,0,-1,0,6,1,0,TRUE
0,0,0,0,0,0,0,0,0,0,0,0,1,0,FALSE
7,1275,61,46,0,0,0,5,0,0,9,0,1,0,FALSE
7,1275,60,46,0,0,0,5,0,0,9,0,1,0,FALSE
7,1275,60,46,0,0,0,5,0,0,9,0,1,0,FALSE
3,-374,22,20,0,0,0,-3,0,2,-5,7,1,0,FALSE
1,3,13,6,0,0,0,1,0,0,2,1,1,0,FALSE
632,3878,1849,291,-1,32,81,153,0,59,361,0,1,1,TRUE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
3,24,58,9,0,0,0,2,0,0,0,12,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
19,1723,94,63,0,0,1,6,0,0,12,0,0,0,FALSE
0,0,-2,0,0,0,0,0,0,0,0,0,0,0,FALSE
