site,lines,words,tags,div,h1,h2,h3,img,table,p,a,iframe,keyword,url_change,Anti-Adblock,
10news.com,-9,-443,10,7,0,0,-1,-1,0,1,0,12,1,0,TRUE,
15min.lt,-26,-416,-9,8,0,0,0,0,0,0,0,9,0,0,FALSE,
2giga.link/download/e1n8y,0,0,5,0,0,0,0,0,0,0,0,0,0,0,FALSE,
3rabshort.com,1,6,12,8,0,0,0,0,0,0,0,2,1,0,FALSE,
411numbers-canada.com,0,0,19,2,0,0,0,0,0,0,0,3,1,0,FALSE,
4downfiles.org/mplyo3txvri9,-6,-29,-1,0,0,0,0,0,0,0,-3,2,1,0,TRUE,
590103.idv.tw,-9,-9,-4,0,0,0,0,0,0,0,0,2,0,1,FALSE,
5nowvideo.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,
6play.fr,0,0,1,0,0,0,0,0,0,0,0,0,1,1,FALSE,
9anime.to,12,1162,109,51,0,0,0,10,0,0,21,5,0,0,TRUE,
9now.com.au,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,
a1.ro,-3,-60,-4,-1,0,0,0,0,0,0,0,1,1,0,FALSE,
aargauerzeitung.ch,3,131,24,1,0,0,0,6,0,0,3,3,1,0,FALSE,
abc.go.com,1,89,7,0,0,0,0,4,0,0,1,0,0,0,FALSE,
abcmalayalam.com,0,0,0,0,0,0,0,0,0,0,0,0,1,0,FALSE,
adf.ly,28,1428,59,7,0,0,0,0,0,0,2,5,1,0,FALSE,
adpop.me,54,577,250,123,-1,3,2,3,0,1,17,2,1,0,TRUE,
adscendmedia.com,0,0,23,2,0,0,0,18,0,0,0,0,0,0,FALSE,
adshort.co,0,0,1,1,0,0,0,0,0,0,0,0,1,0,FALSE,
adshorte.com,0,0,16,1,0,0,0,0,0,0,0,2,1,0,FALSE,
adslzone.net,21,140,106,32,0,0,0,0,0,5,4,5,0,0,FALSE,
adult.xyz,0,0,0,0,0,0,0,0,0,0,0,0,1,0,FALSE,
advancedtomato.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,
aetv.com,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,FALSE,
afreesms.com/asia,199,742,461,34,0,0,0,2,11,4,71,11,0,1,TRUE,
aftonbladet.se,0,19,0,0,0,0,0,0,0,0,0,0,1,0,FALSE,
agame.com/game/small-arms-war,-6,-398,-1,-3,0,0,-1,-4,0,-1,-4,6,1,0,TRUE,
ah-me.com/videos/970965,-5,-135,-16,-5,0,0,0,-5,0,0,0,1,0,0,FALSE,
ainodorama.web.id,0,0,0,0,0,0,0,0,0,0,0,0,1,0,FALSE,
aktualne.cz,4,267,40,10,0,0,1,5,0,1,5,8,0,1,FALSE,
aktuelvizyon.com,0,0,14,0,0,0,0,0,0,0,0,3,0,0,FALSE,
al.ly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,
al.ly/m88fy,1,-1,22,1,0,0,0,0,0,0,0,6,1,0,FALSE,
alphr.com,1,152,8,0,0,0,0,0,0,0,0,4,0,0,FALSE,
alt-torrent.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,
amarujala.com,0,0,5,0,0,0,0,0,0,0,0,2,0,0,FALSE,
androidcentral.com,263,-1038,768,147,0,22,0,21,0,3,164,31,1,0,TRUE,
anibatch.id,15,149,37,9,-1,0,0,2,0,-1,1,3,1,0,TRUE,
animeflv.net,14,1132,92,57,0,0,0,7,0,0,19,2,0,0,FALSE,
animeheaven.eu,1,4,2,1,0,0,0,0,0,0,0,1,0,0,FALSE,
animeplus.tv,32,1078,152,95,0,0,2,13,0,0,18,0,0,0,FALSE,
anitoonstv.com,0,0,2,0,0,0,0,0,0,0,0,1,0,0,FALSE,
antiblock.org,-2,-5,-2,0,0,0,0,0,0,0,0,0,1,0,FALSE,*****
aofsoru.com,2,2,32,15,0,0,0,0,0,0,0,5,0,0,FALSE,
app.com,0,-9,9,0,0,0,0,0,0,0,0,6,1,0,FALSE,
aranzulla.it,0,0,1,0,0,0,0,0,0,0,0,1,0,0,TRUE,
arconaitv.us,14,1259,146,76,0,0,0,7,0,0,25,9,0,0,FALSE,
arenavision.in,1,3,3,1,0,0,0,0,0,0,1,-1,1,0,FALSE,
arenavision.us,1,3,3,1,0,0,0,0,0,0,1,-1,1,0,FALSE,
arsenal-mania.com/forum,-7,-43104,27,-4,-1,0,0,0,0,0,-1,6,1,0,TRUE,
asmwall.com,0,0,23,2,0,0,0,18,0,0,0,0,0,0,FALSE,
autokult.pl,0,0,27,2,0,0,0,2,0,0,3,5,1,0,FALSE,
auto-login-xxx.com,1,2,3,1,0,0,0,1,0,0,0,1,1,0,FALSE,
auto-motor-und-sport.de,1,3,27,10,0,0,0,5,0,0,1,6,1,0,FALSE,
ay.gy,28,1407,59,7,0,0,0,0,0,0,2,5,1,0,FALSE,
b.dk,2,8,15,0,0,0,0,2,0,0,1,8,1,0,FALSE,
b.hatena.ne.jp,6,-9,5,6,0,0,0,-2,0,0,-3,4,0,0,FALSE,
badoo.com,8,4,-13,-7,0,1,-3,1,0,1,0,0,0,0,FALSE,
basket4us.com,0,0,1,0,0,0,0,0,0,0,0,1,0,0,FALSE,
baskino.club,18,994,71,32,0,0,0,8,0,0,13,-1,0,0,FALSE,
batchnime.net,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,
bc.vc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,
bento.de,-3,-687,-3,-8,0,-1,0,1,0,-1,0,6,1,0,TRUE,
betterdocs.net/plugins.html,0,0,0,0,0,0,0,0,0,0,0,0,1,0,FALSE,
bg-gledai.tv/fox-online,7,1275,61,46,0,0,0,5,0,0,9,0,1,0,FALSE,
bg-gledai.tv/nat-geo-wild-online,7,1275,60,46,0,0,0,5,0,0,9,0,1,0,FALSE,
bg-gledai.tv/online-kino-nova,7,1275,60,46,0,0,0,5,0,0,9,0,1,0,FALSE,
bicycling.com,3,-374,22,20,0,0,0,-3,0,2,-5,7,1,0,FALSE,
bigbtc.win,1,3,13,6,0,0,0,1,0,0,2,1,1,0,FALSE,
bild.de,632,3878,1849,291,-1,32,81,153,0,59,361,0,1,1,TRUE,
binbucks.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,
bit.ly/2zhm6na,3,24,58,9,0,0,0,2,0,0,0,12,0,0,FALSE,
bitvid.sx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,
bizarrepedia.com,19,1723,94,63,0,0,1,6,0,0,12,0,0,0,FALSE,
blacksonstars.com,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,FALSE,
blockadblock.com,0,1,0,0,0,0,0,0,0,0,0,0,1,0,FALSE,
